(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
85.8.19.1607@Spilornis minimus   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Spilornis minimus                           NHMT                   85.8.19.1607
95.11.19.1@Spilornis kinabaluensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                Spilornis kinabaluensis                     NHMT                   95.11.19.1
87.11.1.424@Spilornis rufipectus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Spilornis rufipectus                        NHMT                   87.11.1.424
87.11.1.459@Spilornis holospilus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Spilornis holospilus                        NHMT                   87.11.1.459
87.11.1.442@Spilornis elgini    @http://dx.doi.org/10.1080/11250003.2012.663003@                                Spilornis elgini                            NHMT                   87.11.1.442
94.6.16.316@Dryotriorchis s. spectabilis@http://dx.doi.org/10.1080/11250003.2012.663003@                                Dryotriorchis s. spectabilis                NHMT                   94.6.16.316
75.2.1.19@Eutriorchis astur@http://dx.doi.org/10.1080/11250003.2012.663003@                                Eutriorchis astur                           NHMT                   75.2.1.19
38.6.9.4@Circus ranivorus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus ranivorus                            NHMT                   38.6.9.4
77.1.23.19@Circus spilonotus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus spilonotus                           NHMT                   77.1.23.19
97.10.30.139@Circus a. approximans  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus a. approximans                       NHMT                   97.10.30.139
1931.8.18.253@Circus maillardi macroscelis  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus maillardi macroscelis                NHMT                   1931.8.18.253
97.11.14.176@Circus buffoni@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus buffoni                              NHMT                   97.11.14.176
1955.6.N.20.3592@Circus assimilis    @http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus assimilis                            NHMT                   1955.6.N.20.3592
43.2.28.68@Circus maurus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus maurus                               NHMT                   43.2.28.68
92.2.10.504@Circus cinereus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus cinereus                             NHMT                   92.2.10.504
1909.11.20.16@Circus melanoleucos@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circus melanoleucos                         NHMT                   1909.11.20.16
94.6.16.256@Polyboroides t. typus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Polyboroides t. typus                       NHMT                   94.6.16.256
1955.6.N.20.20@Polyboroides radiatus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Polyboroides radiatus                       NHMT                   1955.6.N.20.20
1949.30.26@Kaupifalco m. monogrammicus    @http://dx.doi.org/10.1080/11250003.2012.663003@                                Kaupifalco m. monogrammicus                 NHMT                   1949.30.26
1923.8.7.7.496@Melierax poliopterus        @http://dx.doi.org/10.1080/11250003.2012.663003@                                Melierax poliopterus                        NHMT                   1923.8.7.7.496
84.6.23.2@Melierax canorus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Melierax canorus                            NHMT                   84.6.23.2
1925.7.16.10@Melierax gabar @http://dx.doi.org/10.1080/11250003.2012.663003@                                Melierax gabar                              NHMT                   1925.7.16.10
1908.8.21.21@Accipiter poliogaster@http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter poliogaster                       NHMT                   1908.8.21.21
94.7.4.1@Accipiter t. trivirgatus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter t. trivirgatus                    NHMT                   94.7.4.1
87.11.1.123@Accipiter griseiceps @http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter griseiceps                        NHMT                   87.11.1.123
1904.7.18.13@Accipiter toussenelii @http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter toussenelii                       NHMT                   1904.7.18.13
1910.7.1.97@Accipiter t. tachiro  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter t. tachiro                        NHMT                   1910.7.1.97
1911.5.31.62@Accipiter castanilius@http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter castanilius                       NHMT                   1911.5.31.62
1955.6.N.20.3075a@Accipiter butleri   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter butleri                           NHMT                   1955.6.N.20.3075a
1965.M.1085@Accipiter brevipes       @http://dx.doi.org/10.1080/11250003.2012.663003@                                Accipiter brevipes                          NHMT                   1965.M.1085
86.3.25.42@Accipiter soloensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter soloensis                    NHMT     86.3.25.42
1931.8.18.176@Accipiter francesii  @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter francesii                    NHMT     1931.8.18.176
1955.6.N.20.2742@Accipiter trinotatus   @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter trinotatus                   NHMT     1955.6.N.20.2742
1969.52.287@Accipiter novaehollandiae leucosomus@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter novaehollandiae leucosomus   NHMT     1969.52.287
1906.12.20.4@Accipiter f. fasciatus @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter f. fasciatus                 NHMT     1906.12.20.4
1911.12.20.445@Accipiter m. melanochlamys @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter m. melanochlamys             NHMT     1911.12.20.445
88.2.7.9@Accipiter albogularis eichorni @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter albogularis eichorni         NHMT     88.2.7.9
70.12.3.2@Accipiter haplochrous  @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter haplochrous                  NHMT     70.12.3.2
1955.6.N.20.2715@Accipiter rufitorques @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter rufitorques                  NHMT     1955.6.N.20.2715
1965.33.1@Accipiter luteoschistaceus@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter luteoschistaceus             NHMT     1965.33.1
1961.29.2@Accipiter imitator     @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter imitator                     NHMT     1961.29.2
1911.12.20.438@Accipiter poliocephalus @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter poliocephalus                NHMT     1911.12.20.438
95.11.29.110@Accipiter s. superciliosus    @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter s. superciliosus             NHMT     95.11.29.110
1914.11.26.392@Accipiter collaris@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter collaris                     NHMT     1914.11.26.392
1977.20.27@Accipiter erythropus@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter erythropus                   NHMT     1977.20.27
1903.9.5.78@Accipiter minullus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter minullus                     NHMT     1903.9.5.78
1955.6.N.20@Accipiter g. gularis@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter g. gularis                   NHMT     1955.6.N.20
1927.4.15.62@Accipiter v. virgatus@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter v. virgatus                  NHMT     1927.4.15.62
87.11.1.233@Accipiter erythrauchen @http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter erythrauchen                 NHMT     87.11.1.233
89.6.12.3@Accipiter erythrauchen@http://dx.doi.org/10.1080/11250003.2012.663003@                                   Accipiter c. cirrhocephalus            NHMT     89.6.12.3
